chrom_ref,start_ref,end_ref,strand_ref,gene_id,transcript_id,gene_name,ref_gene_id
8,56967110,56967218,-,MSTRG.32118,ENST00000520392,IMPAD1,ENSG00000104331
5,27477639,27477801,+,MSTRG.26268,ENST00000510165,LINC01021,ENSG00000250337
5,27477639,27477801,+,MSTRG.26268,ENST00000505775,LINC01021,ENSG00000250337
5,27477639,27477801,+,MSTRG.26268,ENST00000514255,LINC01021,ENSG00000250337
1,52357001,52357126,-,MSTRG.1118,MSTRG.1118.3,,
1,52357001,52357126,-,MSTRG.1118,ENST00000371586,CC2D1B,ENSG00000154222
1,52357001,52357126,-,MSTRG.1118,MSTRG.1118.5,,
1,52357001,52357126,-,MSTRG.1118,MSTRG.1118.6,,
1,52357001,52357126,-,MSTRG.1118,ENST00000284376,CC2D1B,ENSG00000154222
1,52357001,52357126,-,MSTRG.1118,ENST00000491136,CC2D1B,ENSG00000154222
1,52357001,52357126,-,MSTRG.1118,MSTRG.1118.11,,
1,52357001,52357126,-,MSTRG.1118,ENST00000438021,CC2D1B,ENSG00000154222
1,52357001,52357126,-,MSTRG.1118,ENST00000450942,CC2D1B,ENSG00000154222
6,3015112,3015643,+,MSTRG.27907,MSTRG.27907.17,,
6,3015112,3015643,+,MSTRG.27907,MSTRG.27907.22,,
6,3015112,3015643,+,MSTRG.27907,MSTRG.27907.29,,
2,95405277,95405402,+,MSTRG.19056,ENST00000447036,FAHD2A,ENSG00000115042
2,95405277,95405402,+,MSTRG.19056,MSTRG.19056.12,,
2,95405277,95405402,+,MSTRG.19056,ENST00000418606,FAHD2A,ENSG00000115042
22,42601970,42602056,-,MSTRG.22453,MSTRG.22453.1,,
22,42601970,42602056,-,MSTRG.22453,MSTRG.22453.2,,
22,42601970,42602056,-,MSTRG.22453,MSTRG.22453.4,,
22,42601970,42602056,-,MSTRG.22453,MSTRG.22453.5,,
22,42601970,42602056,-,MSTRG.22453,ENST00000252115,POLDIP3,ENSG00000100227
22,42601970,42602056,-,MSTRG.22453,ENST00000445215,POLDIP3,ENSG00000100227
22,42601970,42602056,-,MSTRG.22453,ENST00000491021,POLDIP3,ENSG00000100227
20,5972007,5972037,+,MSTRG.20652,MSTRG.20652.1,,
20,5972007,5972037,+,MSTRG.20652,ENST00000378896,MCM8,ENSG00000125885
20,5972007,5972037,+,MSTRG.20652,ENST00000378883,MCM8,ENSG00000125885
20,5972007,5972037,+,MSTRG.20652,ENST00000610722,MCM8,ENSG00000125885
20,5972007,5972037,+,MSTRG.20652,MSTRG.20652.7,,
20,5972007,5972037,+,MSTRG.20652,ENST00000265187,MCM8,ENSG00000125885
10,101584878,101584919,-,MSTRG.4587,MSTRG.4587.4,,
10,101584878,101584919,-,MSTRG.4587,MSTRG.4587.7,,
10,101584878,101584919,-,MSTRG.4587,MSTRG.4587.8,,
10,101584878,101584919,-,MSTRG.4587,MSTRG.4587.16,,
10,101584878,101584919,-,MSTRG.4587,ENST00000415897,POLL,ENSG00000166169
10,101584878,101584919,-,MSTRG.4587,ENST00000485369,POLL,ENSG00000166169
12,30719079,30719225,-,MSTRG.7171,MSTRG.7171.3,,
12,30719079,30719225,-,MSTRG.7171,MSTRG.7171.4,,
12,30719079,30719225,-,MSTRG.7171,MSTRG.7171.5,,
12,30719079,30719225,-,MSTRG.7171,MSTRG.7171.6,,
12,30719079,30719225,-,MSTRG.7171,MSTRG.7171.8,,
12,30719079,30719225,-,MSTRG.7171,ENST00000433722,CAPRIN2,ENSG00000110888
12,30719079,30719225,-,MSTRG.7171,ENST00000548676,CAPRIN2,ENSG00000110888
12,30719079,30719225,-,MSTRG.7171,ENST00000454014,CAPRIN2,ENSG00000110888
12,30719079,30719225,-,MSTRG.7171,ENST00000395805,CAPRIN2,ENSG00000110888
12,30719079,30719225,-,MSTRG.7171,ENST00000417045,CAPRIN2,ENSG00000110888
12,30719079,30719225,-,MSTRG.7171,ENST00000620681,CAPRIN2,ENSG00000110888
12,30719079,30719225,-,MSTRG.7171,ENST00000537108,CAPRIN2,ENSG00000110888
9,5805027,5805217,-,MSTRG.33017,ENST00000462592,ERMP1,ENSG00000099219
9,5805027,5805217,-,MSTRG.33017,MSTRG.33017.2,,
9,5805027,5805217,-,MSTRG.33017,ENST00000214893,ERMP1,ENSG00000099219
9,5805027,5805217,-,MSTRG.33017,ENST00000339450,ERMP1,ENSG00000099219
9,5805027,5805217,-,MSTRG.33017,ENST00000489219,ERMP1,ENSG00000099219
3,48945136,48945181,+,MSTRG.23134,MSTRG.23134.1,,
3,48945136,48945181,+,MSTRG.23134,ENST00000478224,ARIH2,ENSG00000177479
3,48945136,48945181,+,MSTRG.23134,MSTRG.23134.9,,
3,48945136,48945181,+,MSTRG.23134,MSTRG.23134.12,,
3,48945136,48945181,+,MSTRG.23134,MSTRG.23134.17,,
3,48945136,48945181,+,MSTRG.23134,ENST00000482427,ARIH2,ENSG00000177479
3,48945136,48945181,+,MSTRG.23134,ENST00000488963,ARIH2,ENSG00000177479
3,48945136,48945181,+,MSTRG.23134,MSTRG.23134.25,,
3,48945136,48945181,+,MSTRG.23134,MSTRG.23134.26,,
3,48945136,48945181,+,MSTRG.23134,MSTRG.23134.27,,
3,48945136,48945181,+,MSTRG.23134,ENST00000484999,ARIH2,ENSG00000177479
3,48945136,48945181,+,MSTRG.23134,ENST00000463204,ARIH2,ENSG00000177479
3,48945136,48945181,+,MSTRG.23134,ENST00000452385,ARIH2,ENSG00000177479
3,48945136,48945181,+,MSTRG.23134,ENST00000495507,ARIH2,ENSG00000177479
3,48945136,48945181,+,MSTRG.23134,ENST00000472640,ARIH2,ENSG00000177479
10,17603726,17603744,-,MSTRG.3643,ENST00000361271,HACD1,ENSG00000165996
10,17603726,17603744,-,MSTRG.3643,ENST00000498812,HACD1,ENSG00000165996
10,17603726,17603744,-,MSTRG.3643,ENST00000466335,HACD1,ENSG00000165996
19,18774900,18774986,+,MSTRG.16887,MSTRG.16887.3,,
19,18774900,18774986,+,MSTRG.16887,ENST00000321949,CRTC1,ENSG00000105662
19,18774900,18774986,+,MSTRG.16887,MSTRG.16887.6,,
19,18774900,18774986,+,MSTRG.16887,MSTRG.16887.7,,
19,18774900,18774986,+,MSTRG.16887,ENST00000338797,CRTC1,ENSG00000105662
19,18774900,18774986,+,MSTRG.16887,ENST00000594658,CRTC1,ENSG00000105662
3,119478334,119478474,+,MSTRG.23679,ENST00000497447,POGLUT1,ENSG00000163389
3,119478334,119478474,+,MSTRG.23679,MSTRG.23679.5,,
3,119478334,119478474,+,MSTRG.23679,MSTRG.23679.6,,
1,86382242,86382358,-,MSTRG.1489,ENST00000359242,ODF2L,ENSG00000122417
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.3,,
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.4,,
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.7,,
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.10,,
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.13,,
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.14,,
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.16,,
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.17,,
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.19,,
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.21,,
1,86382242,86382358,-,MSTRG.1489,ENST00000460698,ODF2L,ENSG00000122417
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.24,,
1,86382242,86382358,-,MSTRG.1489,ENST00000370566,ODF2L,ENSG00000122417
1,86382242,86382358,-,MSTRG.1489,ENST00000294678,ODF2L,ENSG00000122417
1,86382242,86382358,-,MSTRG.1489,MSTRG.1489.29,,
1,86382242,86382358,-,MSTRG.1489,ENST00000317336,ODF2L,ENSG00000122417
1,86382242,86382358,-,MSTRG.1489,ENST00000488879,ODF2L,ENSG00000122417
1,86382242,86382358,-,MSTRG.1489,ENST00000472368,ODF2L,ENSG00000122417
13,102771867,102771941,-,MSTRG.9234,MSTRG.9234.4,,
9,137429276,137429383,+,MSTRG.34413,ENST00000341349,NOXA1,ENSG00000188747
9,137429276,137429383,+,MSTRG.34413,MSTRG.34413.4,,
2,97091863,97091988,-,MSTRG.19086,ENST00000414820,FAHD2B,ENSG00000144199
2,97091863,97091988,-,MSTRG.19086,MSTRG.19086.3,,
2,97091863,97091988,-,MSTRG.19086,MSTRG.19086.4,,
2,97091863,97091988,-,MSTRG.19086,MSTRG.19086.6,,
2,97091863,97091988,-,MSTRG.19086,MSTRG.19086.7,,
2,191402632,191402718,+,MSTRG.19986,ENST00000392318,MYO1B,ENSG00000128641
2,191402632,191402718,+,MSTRG.19986,MSTRG.19986.4,,
2,191402632,191402718,+,MSTRG.19986,MSTRG.19986.5,,
2,191402632,191402718,+,MSTRG.19986,ENST00000304164,MYO1B,ENSG00000128641
2,191402632,191402718,+,MSTRG.19986,ENST00000392316,MYO1B,ENSG00000128641
11,9176772,9176902,-,MSTRG.5141,ENST00000527896,DENND5A,ENSG00000184014
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.18,,
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.20,,
14,61037625,61037683,+,MSTRG.9881,ENST00000354886,SLC38A6,ENSG00000139974
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.22,,
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.23,,
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.24,,
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.25,,
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.27,,
14,61037625,61037683,+,MSTRG.9881,ENST00000267488,SLC38A6,ENSG00000139974
14,61037625,61037683,+,MSTRG.9881,ENST00000525723,SLC38A6,ENSG00000139974
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.30,,
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.34,,
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.35,,
14,61037625,61037683,+,MSTRG.9881,MSTRG.9881.36,,
14,61037625,61037683,+,MSTRG.9881,ENST00000491344,SLC38A6,ENSG00000139974
14,61037625,61037683,+,MSTRG.9881,ENST00000451406,SLC38A6,ENSG00000139974
14,61037625,61037683,+,MSTRG.9881,ENST00000527591,SLC38A6,ENSG00000139974
14,61037625,61037683,+,MSTRG.9881,ENST00000529345,SLC38A6,ENSG00000139974
14,61037625,61037683,+,MSTRG.9881,ENST00000524402,SLC38A6,ENSG00000139974
14,61037625,61037683,+,MSTRG.9881,ENST00000528350,SLC38A6,ENSG00000139974
14,61037625,61037683,+,MSTRG.9881,ENST00000533744,SLC38A6,ENSG00000139974
12,9693416,9693948,+,MSTRG.6881,ENST00000325960,CLEC2D,ENSG00000069493
11,134183013,134183153,-,MSTRG.6656,MSTRG.6656.2,,
11,134183013,134183153,-,MSTRG.6656,ENST00000525964,NCAPD3,ENSG00000151503
12,6909890,6910026,+,MSTRG.6785,ENST00000007969,LRRC23,ENSG00000010626
12,6909890,6910026,+,MSTRG.6785,ENST00000451681,LRRC23,ENSG00000010626
12,6909890,6910026,+,MSTRG.6785,MSTRG.6785.14,,
12,6909890,6910026,+,MSTRG.6785,ENST00000323702,LRRC23,ENSG00000010626
12,6909890,6910026,+,MSTRG.6785,ENST00000431207,LRRC23,ENSG00000010626
12,6909890,6910026,+,MSTRG.6785,ENST00000443597,LRRC23,ENSG00000010626
3,119437588,119437649,-,MSTRG.23678,MSTRG.23678.1,,
3,119437588,119437649,-,MSTRG.23678,MSTRG.23678.11,,
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.1,,
15,92901167,92901299,+,MSTRG.11758,ENST00000629685,AC013394.1,ENSG00000279765
15,92901167,92901299,+,MSTRG.11758,ENST00000630790,AC013394.1,ENSG00000279765
15,92901167,92901299,+,MSTRG.11758,ENST00000626874,CHD2,ENSG00000173575
15,92901167,92901299,+,MSTRG.11758,ENST00000394196,CHD2,ENSG00000173575
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.17,,
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.18,,
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.19,,
15,92901167,92901299,+,MSTRG.11758,ENST00000629346,CHD2,ENSG00000173575
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.22,,
15,92901167,92901299,+,MSTRG.11758,ENST00000628375,CHD2,ENSG00000173575
15,92901167,92901299,+,MSTRG.11758,ENST00000635856,CHD2,ENSG00000173575
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.25,,
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.26,,
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.27,,
15,92901167,92901299,+,MSTRG.11758,ENST00000420239,CHD2,ENSG00000173575
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.29,,
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.30,,
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.31,,
15,92901167,92901299,+,MSTRG.11758,MSTRG.11758.32,,
2,241324409,241324662,+,MSTRG.20525,MSTRG.20525.16,,
2,241324409,241324662,+,MSTRG.20525,MSTRG.20525.17,,
2,241324409,241324662,+,MSTRG.20525,MSTRG.20525.18,,
2,241324409,241324662,+,MSTRG.20525,MSTRG.20525.38,,
2,241324409,241324662,+,MSTRG.20525,MSTRG.20525.60,,
2,241324409,241324662,+,MSTRG.20525,ENST00000425899,SEPT2,ENSG00000168385
2,241324409,241324662,+,MSTRG.20525,MSTRG.20525.69,,
2,241324409,241324662,+,MSTRG.20525,MSTRG.20525.72,,
12,110143382,110143545,+,MSTRG.8204,ENST00000552912,IFT81,ENSG00000122970
12,110143382,110143545,+,MSTRG.8204,ENST00000361948,IFT81,ENSG00000122970
12,110143382,110143545,+,MSTRG.8204,MSTRG.8204.4,,
12,110143382,110143545,+,MSTRG.8204,MSTRG.8204.5,,
12,110143382,110143545,+,MSTRG.8204,ENST00000242591,IFT81,ENSG00000122970
12,110143382,110143545,+,MSTRG.8204,MSTRG.8204.7,,
12,110143382,110143545,+,MSTRG.8204,MSTRG.8204.8,,
12,110143382,110143545,+,MSTRG.8204,MSTRG.8204.9,,
12,110143382,110143545,+,MSTRG.8204,MSTRG.8204.11,,
12,110143382,110143545,+,MSTRG.8204,ENST00000546374,IFT81,ENSG00000122970
12,110143382,110143545,+,MSTRG.8204,ENST00000550156,IFT81,ENSG00000122970
12,110143382,110143545,+,MSTRG.8204,ENST00000549009,IFT81,ENSG00000122970
9,123071412,123071501,+,MSTRG.34057,ENST00000456584,RABGAP1,ENSG00000011454
12,111482787,111482831,-,MSTRG.8229,ENST00000551755,ATXN2,ENSG00000204842
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.2,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.4,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.5,,
20,13814418,13814515,+,MSTRG.20699,ENST00000378081,NDUFAF5,ENSG00000101247
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.7,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.8,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.9,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.10,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.12,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.15,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.23,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.24,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.26,,
20,13814418,13814515,+,MSTRG.20699,MSTRG.20699.31,,
20,13814418,13814515,+,MSTRG.20699,ENST00000487478,NDUFAF5,ENSG00000101247
3,38193282,38193418,+,MSTRG.22950,MSTRG.22950.1,,
3,38193282,38193418,+,MSTRG.22950,MSTRG.22950.6,,
3,38193282,38193418,+,MSTRG.22950,MSTRG.22950.12,,
3,38193282,38193418,+,MSTRG.22950,ENST00000426620,OXSR1,ENSG00000172939
10,35320856,35321112,-,MSTRG.3823,MSTRG.3823.1,,
10,35320856,35321112,-,MSTRG.3823,MSTRG.3823.4,,
7,129641725,129641822,+,MSTRG.31139,ENST00000454688,NRF1,ENSG00000106459
8,143332487,143332601,-,MSTRG.32820,MSTRG.32820.5,,
8,143332487,143332601,-,MSTRG.32820,ENST00000519591,TOP1MT,ENSG00000184428
19,38325043,38325577,+,MSTRG.17232,MSTRG.17232.1,,
1,145837496,145837596,+,MSTRG.1971,MSTRG.1971.6,,
1,45009986,45010121,-,MSTRG.998,ENST00000372172,HECTD3,ENSG00000126107
16,15651931,15652050,+,MSTRG.12312,MSTRG.12312.6,,
16,15651931,15652050,+,MSTRG.12312,ENST00000572756,NDE1,ENSG00000072864
8,143592647,143592797,-,MSTRG.32834,ENST00000531218,EEF1D,ENSG00000104529
8,143592647,143592797,-,MSTRG.32834,ENST00000534804,EEF1D,ENSG00000104529
5,139665580,139665803,+,MSTRG.27365,ENST00000520967,CXXC5,ENSG00000171604
16,27341070,27341313,+,MSTRG.12500,ENST00000563926,IL4R,ENSG00000077238
16,27341070,27341313,+,MSTRG.12500,ENST00000568746,IL4R,ENSG00000077238
15,64123503,64123546,+,MSTRG.11199,ENST00000560829,SNX1,ENSG00000028528
15,64123503,64123546,+,MSTRG.11199,ENST00000559061,SNX1,ENSG00000028528
15,64123503,64123546,+,MSTRG.11199,MSTRG.11199.3,,
15,64123503,64123546,+,MSTRG.11199,ENST00000380285,SNX1,ENSG00000028528
15,64123503,64123546,+,MSTRG.11199,ENST00000261889,SNX1,ENSG00000028528
15,64123503,64123546,+,MSTRG.11199,MSTRG.11199.6,,
15,64123503,64123546,+,MSTRG.11199,ENST00000559844,SNX1,ENSG00000028528
15,64123503,64123546,+,MSTRG.11199,ENST00000561026,SNX1,ENSG00000028528
15,64123503,64123546,+,MSTRG.11199,ENST00000559389,SNX1,ENSG00000028528
1,222827428,222827601,+,MSTRG.3140,MSTRG.3140.2,,
1,222827428,222827601,+,MSTRG.3140,MSTRG.3140.3,,
1,222827428,222827601,+,MSTRG.3140,MSTRG.3140.8,,
1,222827428,222827601,+,MSTRG.3140,ENST00000457955,AL392172.1,ENSG00000228106
1,222827428,222827601,+,MSTRG.3140,MSTRG.3140.10,,
1,222827428,222827601,+,MSTRG.3140,ENST00000435378,AL392172.1,ENSG00000228106
7,99377358,99377455,+,MSTRG.30721,MSTRG.30721.17,,
7,99377358,99377455,+,MSTRG.30721,ENST00000429246,ARPC1B,ENSG00000130429
7,99377358,99377455,+,MSTRG.30721,ENST00000458033,ARPC1B,ENSG00000130429
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.1,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.3,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.4,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.5,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.6,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.7,,
3,121797118,121797227,-,MSTRG.23712,ENST00000310864,IQCB1,ENSG00000173226
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.9,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.10,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.12,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.13,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.15,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.16,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.17,,
3,121797118,121797227,-,MSTRG.23712,MSTRG.23712.18,,
3,121797118,121797227,-,MSTRG.23712,ENST00000393650,IQCB1,ENSG00000173226
3,121797118,121797227,-,MSTRG.23712,ENST00000460108,IQCB1,ENSG00000173226
7,64560946,64561273,-,MSTRG.30307,MSTRG.30307.6,,
7,64560946,64561273,-,MSTRG.30307,ENST00000473601,ZNF680,ENSG00000173041
16,81090601,81090680,-,MSTRG.13245,ENST00000640345,AC092718.8,ENSG00000284512
16,81090601,81090680,-,MSTRG.13245,ENST00000638948,AC092718.3,ENSG00000260643
16,81090601,81090680,-,MSTRG.13245,ENST00000564536,AC092718.3,ENSG00000260643
16,81090601,81090680,-,MSTRG.13245,MSTRG.13245.37,,
16,81090601,81090680,-,MSTRG.13245,ENST00000640370,AC092718.3,ENSG00000260643
16,81090601,81090680,-,MSTRG.13245,MSTRG.13245.42,,
16,81090601,81090680,-,MSTRG.13245,ENST00000315467,GCSH,ENSG00000140905
16,81090601,81090680,-,MSTRG.13245,ENST00000564386,GCSH,ENSG00000140905
16,81090601,81090680,-,MSTRG.13245,ENST00000639169,GCSH,ENSG00000140905
16,81090601,81090680,-,MSTRG.13245,ENST00000569885,GCSH,ENSG00000140905
16,81090601,81090680,-,MSTRG.13245,MSTRG.13245.49,,
